,input,result
280,50,1.666666667
281,50,1.666666667
282,50,1.666666667
283,50,1.666666667
284,50,1.666666667
285,50,1.666666667
286,50,1.515151515
287,50,1.515151515
288,50,1.515151515
289,50,1.666666667
290,50,1.666666667
291,50,1.666666667
292,50,1.666666667
293,50,1.666666667
294,50,1.666666667
295,50,1.515151515
296,50,1.515151515
297,50,1.666666667
298,50,1.666666667
299,50,1.666666667
300,50,1.666666667
301,50,1.666666667
302,50,1.666666667
303,50,1.666666667
304,50,1.666666667
305,50,1.666666667
306,50,1.666666667
307,50,1.666666667
308,50,1.515151515
309,50,1.515151515
310,50,1.666666667
311,50,1.666666667
312,50,1.666666667
313,50,1.666666667
314,50,1.666666667
315,50,1.666666667
316,50,1.666666667
317,50,1.666666667
318,50,1.515151515
319,50,1.515151515
320,50,1.666666667
321,50,1.666666667
322,50,1.666666667
323,50,1.666666667
324,50,1.666666667
325,50,1.666666667
326,50,1.666666667
327,50,1.666666667
328,50,1.666666667
329,50,1.666666667
330,50,1.666666667
331,50,1.666666667
332,50,1.666666667
333,50,1.666666667
334,50,1.666666667
335,50,1.666666667
336,50,1.666666667
337,50,1.666666667
338,50,1.666666667
339,50,1.666666667
340,50,1.666666667
341,50,1.666666667
342,50,1.666666667
343,50,1.666666667
344,50,1.666666667
345,50,1.666666667
346,50,1.666666667
347,50,1.515151515
348,50,1.515151515
349,50,1.515151515
350,50,1.666666667
351,50,1.666666667
352,50,1.666666667
353,50,1.666666667
354,50,1.666666667
355,50,1.666666667
356,50,1.666666667
357,50,1.666666667
358,50,1.666666667
359,50,1.666666667
360,50,1.666666667
361,50,1.666666667
362,50,1.666666667
363,50,1.666666667
364,50,1.666666667
365,50,1.666666667
366,50,1.666666667
367,50,1.666666667
368,50,1.666666667
369,50,1.666666667
370,50,1.666666667
371,50,1.666666667
372,50,1.666666667
373,50,1.666666667
374,50,1.666666667
375,50,1.666666667
376,50,1.666666667
377,50,1.666666667
378,50,1.666666667
379,50,1.666666667
380,50,1.666666667
381,50,1.666666667
382,50,1.666666667
383,50,1.666666667
384,50,1.666666667
385,50,1.666666667
386,50,1.666666667
387,50,1.666666667
388,50,1.666666667
389,50,1.515151515
390,50,1.515151515
391,50,1.666666667
392,50,1.666666667
393,50,1.851851852
394,50,1.851851852
395,50,1.666666667
396,50,1.666666667
397,50,1.515151515
398,50,1.515151515
399,50,1.666666667
400,50,1.666666667
401,50,1.666666667
402,50,1.666666667
403,50,1.666666667
404,50,1.666666667
405,50,1.666666667
406,50,1.666666667
407,50,1.666666667
408,50,1.666666667
409,50,1.666666667
410,50,1.515151515
411,50,1.515151515
412,50,1.666666667
413,50,1.666666667
414,50,1.851851852
415,50,1.851851852
416,50,1.666666667
417,50,1.666666667
418,50,1.515151515
419,50,1.515151515
420,50,1.666666667
421,50,1.666666667
422,50,1.666666667
423,50,1.666666667
424,50,1.666666667
425,50,1.666666667
426,50,1.666666667
427,50,1.666666667
428,50,1.666666667
429,50,1.666666667
430,50,1.666666667
431,50,1.666666667
432,50,1.666666667
